input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
Southern Methodist University,American University,Fordham University,Emory University,Boston College,Texas Christian University,George Washington University,Syracuse University,Duke University,Boston University,Stony Brook University
Southwestern Assemblies of God University,Concord University,Tusculum University,Henderson State University,Shorter University,Trinity Bible College and Graduate School,Trinity International University-Illinois,MidAmerica Nazarene University,Columbia International University,Delta State University,Southwest Baptist University
Southwestern University,Ohio Wesleyan University,Birmingham-Southern College,Hendrix College,University of Dallas,Drew University,North Central College,Wofford College,Allegheny College,University of Evansville,Virginia Wesleyan University
Stephen F Austin State University,Tarleton State University,Western Kentucky University,Eastern Michigan University,Southern Illinois University-Edwardsville,East Tennessee State University,Western Michigan University,Georgia Southern University,University of North Carolina at Greensboro,Western Carolina University,West Virginia University
Texas State University,University of North Texas,The University of Texas at San Antonio,Florida Atlantic University,Sam Houston State University,University of New Mexico-Main Campus,Kennesaw State University,Texas Tech University,The University of Texas Rio Grande Valley,Texas Woman's University,Florida International University
Southwestern Adventist University,Oklahoma Wesleyan University,University of the Incarnate Word,Pacific Union College,Southern Adventist University,Caldwell University,Judson University,Indiana University-Northwest,Felician University,Dominican University,Central Baptist College
Sul Ross State University,The University of Texas Permian Basin,Adams State University,Texas A & M International University,Gordon State College,Black Hills State University,Metropolitan State University of Denver,Roosevelt University,Texas Wesleyan University,Shepherd University,Georgia Southwestern State University
Tarleton State University,Stephen F Austin State University,Eastern Michigan University,Western Kentucky University,Eastern Kentucky University,East Tennessee State University,The University of Tennessee-Chattanooga,Western Michigan University,Georgia Southern University,Western Carolina University,Florida Gulf Coast University
Texas A & M University-Kingsville,West Texas A & M University,Texas A & M University-Corpus Christi,William Paterson University of New Jersey,Western Connecticut State University,Colorado State University Pueblo,University of Bridgeport,Fairleigh Dickinson University-Metropolitan Campus,Angelo State University,The University of Texas at Tyler,The University of Tennessee-Martin
Texas A & M University-College Station,University of Houston,University of Central Florida,The University of Texas at Austin,University of Illinois Chicago,University of Minnesota-Twin Cities,University of Arizona,George Mason University,Texas Tech University,Florida International University,University of South Florida
The University of Texas at Arlington,Nova Southeastern University,University of Nevada-Las Vegas,University of North Texas,Florida Atlantic University,University of Illinois Chicago,New Mexico State University-Main Campus,The University of Texas at San Antonio,University of Houston,University of South Alabama,Texas State University
The University of Texas at Austin,University of Minnesota-Twin Cities,Texas A & M University-College Station,University of Houston,University of Illinois Chicago,University of Arizona,University of Central Florida,Florida State University,George Mason University,Virginia Polytechnic Institute and State University,University of Wisconsin-Madison
The University of Texas at Dallas,University at Buffalo,University of Colorado Boulder,University of Cincinnati-Main Campus,University of South Carolina-Columbia,The University of Tennessee-Knoxville,University of Oklahoma-Norman Campus,University of Kansas,Miami University-Oxford,University of Utah,Drexel University
The University of Texas at El Paso,The University of Texas Rio Grande Valley,Metropolitan State University of Denver,Florida Atlantic University,The University of Texas at San Antonio,Texas Woman's University,University of New Mexico-Main Campus,Kean University,Sam Houston State University,University of Nevada-Las Vegas,Texas State University
The University of Texas at Tyler,University of Southern Indiana,Saint Cloud State University,Arkansas Tech University,University of Louisiana at Monroe,University of South Dakota,Saginaw Valley State University,University of South Carolina Aiken,University of Central Arkansas,University of New Orleans,Arkansas State University
Texas Christian University,Marquette University,Chapman University,University of Dayton,Syracuse University,University of Vermont,Elon University,Fordham University,University of Connecticut,Hofstra University,George Washington University
Texas Lutheran University,Carson-Newman University,Charleston Southern University,Catawba College,Hardin-Simmons University,Southwest Baptist University,North Park University,Palm Beach Atlantic University,Castleton University,La Roche University,Otterbein University
The University of Texas Permian Basin,Adams State University,Angelo State University,Colorado State University Pueblo,Sul Ross State University,Texas A & M University-Corpus Christi,Metropolitan State University of Denver,University of Houston-Downtown,West Texas A & M University,New Mexico State University-Main Campus,Texas Woman's University
The University of Texas at San Antonio,Texas State University,University of North Texas,Florida Atlantic University,University of New Mexico-Main Campus,University of Nevada-Las Vegas,The University of Texas Rio Grande Valley,The University of Texas at El Paso,Florida International University,Kennesaw State University,Sam Houston State University
Texas Southern University,Fayetteville State University,Morgan State University,Alabama State University,Alabama A & M University,Southern University and A & M College,Prairie View A & M University,Winston-Salem State University,Bowie State University,Norfolk State University,Virginia State University
Texas Tech University,University of North Texas,Texas State University,University of Arizona,Florida International University,University of Houston,Florida Atlantic University,The University of Texas at San Antonio,University of Nebraska-Lincoln,University of New Mexico-Main Campus,Auburn University
Texas Wesleyan University,Tennessee Wesleyan University,The University of Texas Permian Basin,Houston Baptist University,Baker University,Roosevelt University,McMurry University,Southwestern College,Georgia Southwestern State University,Adams State University,Thomas More University
Texas Woman's University,University of New Mexico-Main Campus,The University of Texas at El Paso,Metropolitan State University of Denver,Texas State University,Cleveland State University,Sam Houston State University,Southeastern Louisiana University,Florida Atlantic University,The University of Texas Rio Grande Valley,Kean University
Trinity University,Rhodes College,Lafayette College,Macalester College,Davidson College,Washington and Lee University,Skidmore College,Denison University,Franklin and Marshall College,Centre College,Muhlenberg College
West Texas A & M University,Texas A & M University-Corpus Christi,Angelo State University,Texas A & M University-Kingsville,Colorado State University Pueblo,William Paterson University of New Jersey,Roosevelt University,Texas A & M University-Commerce,Fairleigh Dickinson University-Metropolitan Campus,The University of Texas at Tyler,Western Connecticut State University
Brigham Young University,Florida State University,Auburn University,University of South Florida,University of Minnesota-Twin Cities,University of Wisconsin-Madison,University of Georgia,Rutgers University-New Brunswick,University of Massachusetts-Amherst,University of Colorado Boulder,Brigham Young University-Idaho
Brigham Young University-Hawaii,Columbia International University,Mount St. Mary's University,Palm Beach Atlantic University,College of the Ozarks,Oklahoma Baptist University,University of Northwestern-St Paul,Walsh University,Taylor University,University of Mary,Indiana Wesleyan University-Marion
Utah State University,Missouri State University-Springfield,University of North Florida,Middle Tennessee State University,Oakland University,Indiana University-Purdue University-Indianapolis,University of Louisville,University of Wisconsin-Milwaukee,Wichita State University,Minnesota State University-Mankato,University of North Georgia
University of Utah,The University of Tennessee-Knoxville,University of Kansas,University of Oklahoma-Norman Campus,Louisiana State University and Agricultural & Mechanical College,University of Colorado Boulder,Colorado State University-Fort Collins,University of Cincinnati-Main Campus,University of Oregon,James Madison University,University of Iowa
Bennington College,Beloit College,Lawrence University,Rollins College,Emerson College,William Jewell College,Pratt Institute-Main,DePauw University,Marymount Manhattan College,Ithaca College,University of North Carolina School of the Arts
Castleton University,Catawba College,Lasell University,Chatham University,Franklin Pierce University,St. Thomas Aquinas College,Nichols College,Marietta College,Lynn University,University of Pittsburgh-Bradford,University of Mount Union
Champlain College,Marymount Manhattan College,Point Park University,Kettering University,Rider University,Embry-Riddle Aeronautical University-Prescott,Pace University,Dakota State University,Marist College,DeSales University,Hofstra University
Middlebury College,Hamilton College,Bates College,Vassar College,Colby College,Colorado College,Bowdoin College,Grinnell College,Williams College,Washington and Lee University,Swarthmore College
Saint Michael's College,Le Moyne College,Emmanuel College,Saint Vincent College,Saint Anselm College,Washington College,Benedictine College,St Bonaventure University,Muhlenberg College,Loyola University Maryland,Lake Forest College
University of Vermont,University of Connecticut,University of Massachusetts-Amherst,Syracuse University,University of New Hampshire-Main Campus,Stony Brook University,George Washington University,University of Delaware,Clemson University,Texas Christian University,Miami University-Oxford
Averett University,Charleston Southern University,Carson-Newman University,Hardin-Simmons University,Shorter University,Midland University,Oklahoma Baptist University,Castleton University,Georgetown College,Adrian College,MidAmerica Nazarene University
Bridgewater College,Aquinas College,Roanoke College,Western Colorado University,Carthage College,Wisconsin Lutheran College,Nebraska Wesleyan University,University of Lynchburg,Castleton University,Hanover College,Wittenberg University
William & Mary,Colgate University,Brandeis University,Bucknell University,Dartmouth College,Rice University,Brown University,Princeton University,Colby College,Washington and Lee University,Grinnell College
Regent University,University of Wisconsin-Parkside,University of South Carolina-Upstate,The University of West Florida,University of Arkansas at Little Rock,Augusta University,Louisiana State University-Shreveport,Indiana University-Southeast,Governors State University,University of Colorado Colorado Springs,University of Michigan-Dearborn
Christopher Newport University,SUNY College at Geneseo,Fairleigh Dickinson University-Florham Campus,Ramapo College of New Jersey,University of Mary Washington,Butler University,Stetson University,Eastern Connecticut State University,Longwood University,The College of New Jersey,Quinnipiac University
Ferrum College,Dakota Wesleyan University,Pfeiffer University,Kentucky Wesleyan College,Brevard College,Huntingdon College,Eastern Nazarene College,Trinity Christian College,Tennessee Wesleyan University,Defiance College,Louisiana Christian University
George Mason University,University of Massachusetts-Boston,University of Minnesota-Twin Cities,University of Massachusetts-Lowell,University of Illinois Chicago,Wayne State University,University of Colorado Denver/Anschutz Medical Campus,Virginia Commonwealth University,University of Alabama at Birmingham,Florida State University,University of South Florida
Hampden-Sydney College,Wabash College,Virginia Military Institute,Washington College,William Jewell College,Sweet Briar College,Principia College,Beloit College,University of Mary Washington,Gettysburg College,Transylvania University
Hampton University,Delaware State University,Winston-Salem State University,Prairie View A & M University,Lindenwood University,Eastern Illinois University,Lander University,West Virginia State University,North Carolina Central University,Radford University,Longwood University
Hollins University,Sweet Briar College,Meredith College,Beloit College,Warren Wilson College,Bennington College,Knox College,Stephens College,Moore College of Art and Design,Agnes Scott College,University of North Carolina at Asheville
James Madison University,University of North Carolina Wilmington,University of Kansas,University of Oklahoma-Norman Campus,Miami University-Oxford,Appalachian State University,University of Iowa,University of Delaware,Towson University,University of Mississippi,Ohio University-Main Campus
Longwood University,Eastern Connecticut State University,York College of Pennsylvania,Lindenwood University,SUNY at Fredonia,Winthrop University,Stetson University,Radford University,University of Nebraska at Kearney,Baldwin Wallace University,Wilkes University
University of Lynchburg,Otterbein University,King's College,Drury University,Spring Hill College,Saint Vincent College,Moravian University,Wittenberg University,Northwest Nazarene University,Nebraska Wesleyan University,Randolph-Macon College
University of Mary Washington,Christopher Newport University,SUNY College at Geneseo,Ramapo College of New Jersey,Butler University,Hofstra University,Fairleigh Dickinson University-Florham Campus,Truman State University,Stetson University,Drake University,The College of New Jersey
Norfolk State University,Virginia State University,Alabama State University,North Carolina Central University,Prairie View A & M University,Delaware State University,Winston-Salem State University,Southern University and A & M College,Alabama A & M University,Jackson State University,Texas Southern University
Old Dominion University,University of North Carolina at Greensboro,Ohio University-Main Campus,Towson University,University of Kansas,Southern Illinois University-Edwardsville,University of North Carolina at Charlotte,University of Toledo,Eastern Michigan University,University of Mississippi,West Chester University of Pennsylvania
Radford University,East Stroudsburg University of Pennsylvania,Indiana University of Pennsylvania-Main Campus,Longwood University,York College of Pennsylvania,Lindenwood University,Lander University,Northwest Missouri State University,SUNY at Fredonia,Eastern Connecticut State University,Wilkes University
Randolph-Macon College,North Central College,Ohio Wesleyan University,Drew University,Otterbein University,Lycoming College,Hendrix College,Birmingham-Southern College,Wofford College,Nebraska Wesleyan University,Augustana College
Randolph College,Franklin College,Monmouth College,Western Colorado University,Cornell College,Lake Erie College,Transylvania University,Sterling College,Berry College,Hastings College,Sweet Briar College
University of Richmond,Bucknell University,United States Air Force Academy,Brandeis University,Santa Clara University,Drake University,Lehigh University,Yeshiva University,Butler University,William & Mary,Vassar College
Roanoke College,Wittenberg University,Carthage College,Augustana College,Concordia College at Moorhead,Susquehanna University,Augustana University,Gustavus Adolphus College,Luther College,Wartburg College,Saint Vincent College
Southern Virginia University,Delta State University,Life University,Northern State University,Concord University,University of Maine at Farmington,Henderson State University,Oglethorpe University,University of Pittsburgh-Johnstown,Marietta College,University of North Carolina at Asheville
Sweet Briar College,Hollins University,Meredith College,Randolph College,Millsaps College,Transylvania University,Centenary College of Louisiana,Washington College,Earlham College,Moore College of Art and Design,Cornell College
University of Virginia's College at Wise,Concord University,Marietta College,Northern State University,Southern Virginia University,University of Maine at Farmington,Castleton University,Henderson State University,Florida College,Indiana University-Kokomo,University of Southern Maine
Virginia Polytechnic Institute and State University,North Carolina State University at Raleigh,Clemson University,University of Georgia,The University of Alabama,University of Colorado Boulder,The University of Tennessee-Knoxville,University of Minnesota-Twin Cities,Purdue University-Main Campus,Ohio State University-Main Campus,University of South Carolina-Columbia
Virginia Commonwealth University,Rowan University,University of Massachusetts-Lowell,University of North Carolina at Charlotte,University of Kansas,University of Maryland-Baltimore County,University of Kentucky,George Mason University,Ohio University-Main Campus,Old Dominion University,University of Oklahoma-Norman Campus
University of Virginia-Main Campus,Cornell University,University of Maryland-College Park,University of Miami,University of Michigan-Ann Arbor,Northwestern University,Tulane University of Louisiana,University of Southern California,University of Florida,University of Pittsburgh-Pittsburgh Campus,Washington University in St Louis
Virginia Military Institute,St. Mary's College of Maryland,Washington College,University of Puget Sound,Lewis & Clark College,Lawrence University,Washington & Jefferson College,DePauw University,St Lawrence University,Lake Forest College,Kalamazoo College
Virginia State University,Norfolk State University,Alabama State University,Southern University and A & M College,Alabama A & M University,Prairie View A & M University,North Carolina Central University,Grambling State University,Jackson State University,Clark Atlanta University,Winston-Salem State University
Virginia Union University,Benedict College,Lincoln University,Norfolk State University,Dillard University,Concord University,Kentucky State University,Georgetown College,Cabrini University,Virginia State University,Carson-Newman University
Virginia Wesleyan University,Birmingham-Southern College,Simpson College,Nebraska Wesleyan University,North Central College,Allegheny College,Hendrix College,Drew University,Methodist University,Ohio Wesleyan University,Ohio Northern University
Washington and Lee University,Colby College,Swarthmore College,Pomona College,Grinnell College,Bowdoin College,Amherst College,Vassar College,Claremont McKenna College,Williams College,Middlebury College
The Evergreen State College,Dakota State University,Florida College,Lancaster Bible College,Friends University,D'Youville  University,Georgia Southwestern State University,Montana Technological University,Mississippi University for Women,Northwood University,West Virginia University Institute of Technology
Gonzaga University,Loyola University Maryland,Creighton University,Providence College,Fairfield University,University of Portland,Santa Clara University,Saint Joseph's University,Duquesne University,John Carroll University,Loyola Marymount University
Northwest University,Queens University of Charlotte,University of Northwestern-St Paul,Birmingham-Southern College,University of Mobile,Le Moyne College,Indiana Wesleyan University-Marion,Taylor University,Emmanuel College,Palm Beach Atlantic University,Northwest Nazarene University
Pacific Lutheran University,Luther College,Gustavus Adolphus College,Carthage College,Wittenberg University,Roanoke College,Muhlenberg College,Augustana University,Furman University,Susquehanna University,California Lutheran University
University of Puget Sound,Furman University,DePauw University,Lawrence University,St. Mary's College of Maryland,Denison University,The College of Wooster,Occidental College,Washington College,Kalamazoo College,Lewis & Clark College
Saint Martin's University,Thomas More University,Mount Mercy University,Immaculata University,Marian University,Avila University,Bellarmine University,Christian Brothers University,Saint Joseph's College of Maine,Marywood University,Georgian Court University
Seattle Pacific University,Stetson University,Fairleigh Dickinson University-Florham Campus,Rider University,George Fox University,Wilkes University,La Salle University,Biola University,Florida Southern College,Lee University,University of Hartford
Seattle University,Duquesne University,University of Portland,Saint Joseph's University,University of Scranton,St. John Fisher University,Creighton University,Loyola University Maryland,Fairfield University,John Carroll University,Gonzaga University
Western Washington University,University of Oregon,University of North Carolina Wilmington,University of Utah,University of Oklahoma-Norman Campus,Miami University-Oxford,University of Kansas,James Madison University,Rowan University,College of Charleston,West Chester University of Pennsylvania
Whitman College,Grinnell College,Kenyon College,Reed College,Occidental College,Connecticut College,Skidmore College,Colorado College,Oberlin College,Lewis & Clark College,The College of Wooster
Whitworth University,Arcadia University,Hendrix College,Birmingham-Southern College,Allegheny College,University of North Carolina at Asheville,Benedictine College,Washington & Jefferson College,Gordon College,Emmanuel College,Concordia College at Moorhead
Appalachian Bible College,Faith Baptist Bible College and Theological Seminary,Emmaus Bible College,Boise Bible College,Maranatha Baptist University,Trinity Baptist College,Urshan College,Trinity Bible College and Graduate School,Manhattan Christian College,Southeastern Baptist Theological Seminary,Martin Luther College
Bluefield State University,New England Institute of Technology,West Virginia State University,University of the Virgin Islands,Lewis-Clark State College,College of Coastal Georgia,Indiana University-Kokomo,Texas A&M University-Texarkana,Dickinson State University,Winston-Salem State University,Oregon Institute of Technology
Concord University,Henderson State University,Marietta College,Delta State University,Life University,Northwestern Oklahoma State University,West Liberty University,Francis Marion University,Gordon State College,Indiana University-South Bend,Shorter University
Davis & Elkins College,William Peace University,Maryville College,Muskingum University,Monmouth College,Bethany College,Dakota Wesleyan University,Kentucky Wesleyan College,Sterling College,Tusculum University,Wilson College
Fairmont State University,Jacksonville State University,Southwestern Oklahoma State University,University of South Carolina Aiken,Middle Georgia State University,Wright State University-Main Campus,Emporia State University,The University of Texas at Tyler,Bemidji State University,Slippery Rock University of Pennsylvania,Saginaw Valley State University
Shepherd University,Black Hills State University,Georgia Southwestern State University,Minot State University,Southwest Minnesota State University,University of Illinois Springfield,Millikin University,University of Wisconsin-Superior,Lander University,Wright State University-Main Campus,Friends University
West Virginia State University,University of the Virgin Islands,Kentucky State University,Hampton University,Fayetteville State University,Lewis-Clark State College,Dickinson State University,Alabama State University,Texas A&M University-Texarkana,Elizabeth City State University,Prairie View A & M University
West Liberty University,Henderson State University,Columbia International University,Concord University,Delta State University,Northern State University,Northwestern Oklahoma State University,MidAmerica Nazarene University,Marietta College,Franklin Pierce University,Castleton University
West Virginia University Institute of Technology,Friends University,Upper Iowa University,Georgia Southwestern State University,Shepherd University,Minot State University,Montana Technological University,University of Illinois Springfield,Dakota State University,Northwood University,Southwest Minnesota State University
West Virginia Wesleyan College,Central Methodist University-College of Liberal Arts and Sciences,Adrian College,Nebraska Wesleyan University,Otterbein University,University of Pittsburgh-Bradford,University of Evansville,Hardin-Simmons University,Kentucky Wesleyan College,Trinity International University-Illinois,Carson-Newman University
West Virginia University,Ohio University-Main Campus,University of Kansas,Grand Valley State University,University of Arkansas,Western Michigan University,Mississippi State University,Kent State University at Kent,Western Kentucky University,University of Mississippi,Illinois State University
Beloit College,Kalamazoo College,Lake Forest College,Lawrence University,DePauw University,Knox College,University of Puget Sound,Covenant College,Goucher College,Hobart William Smith Colleges,Cornell College
Carroll University,Endicott College,St. John Fisher University,Lindenwood University,Queens University of Charlotte,York College of Pennsylvania,Mississippi College,Ashland University,Baldwin Wallace University,University of Tulsa,Lee University
Carthage College,Roanoke College,Wartburg College,Wittenberg University,Augustana College,Capital University,Concordia College at Moorhead,Luther College,Susquehanna University,Augustana University,Wisconsin Lutheran College
Concordia University-Wisconsin,Ashland University,Concordia University Ann Arbor,St. John Fisher University,La Salle University,Quinnipiac University,Mississippi College,Lee University,Abilene Christian University,Baldwin Wallace University,York College of Pennsylvania
Lawrence University,Lewis & Clark College,Wheaton College (Massachusetts),The College of Wooster,St. Mary's College of Maryland,Hobart William Smith Colleges,Knox College,Gettysburg College,DePauw University,University of Puget Sound,St Lawrence University
Maranatha Baptist University,Faith Baptist Bible College and Theological Seminary,Trinity Baptist College,Appalachian Bible College,Toccoa Falls College,Carson-Newman University,Emmaus Bible College,Hardin-Simmons University,Missouri Baptist University,The University of Tennessee Southern,Bryn Athyn College of the New Church
Marian University,Mount Mercy University,Avila University,Georgian Court University,Spalding University,Siena Heights University,Immaculata University,Marywood University,Gwynedd Mercy University,University of Saint Mary,College of Our Lady of the Elms
Marquette University,University of Dayton,Gonzaga University,Loyola University Chicago,Saint Joseph's University,Duquesne University,Seton Hall University,Saint Louis University,Texas Christian University,Loyola University Maryland,Fordham University
Mount Mary University,Caldwell University,Avila University,Marian University,Cedar Crest College,Mount Mercy University,Felician University,College of Mount Saint Vincent,Marywood University,University of St Francis,Spalding University
Northland College,Rocky Mountain College,Houghton University,Kentucky Wesleyan College,Franklin College,Centenary College of Louisiana,Transylvania University,Defiance College,Hastings College,Piedmont University,University of the Ozarks
Saint Norbert College,Saint Vincent College,Emmanuel College,St Bonaventure University,Spring Hill College,Cabrini University,Walsh University,Saint Anselm College,Benedictine College,Aquinas College,Randolph-Macon College
Viterbo University,Walsh University,University of Mary,Alvernia University,Saint Francis University,Immaculata University,Salve Regina University,Saint Ambrose University,Seton Hill University,Carroll College,Spring Hill College
University of Wisconsin-Whitewater,Western Carolina University,Western Kentucky University,Kent State University at Kent,Towson University,Illinois State University,Eastern Michigan University,Bowling Green State University-Main Campus,The University of Tennessee-Chattanooga,Western Michigan University,Pace University
University of Wisconsin-Eau Claire,University of Wisconsin-La Crosse,Georgia College & State University,University of Minnesota-Duluth,College of Charleston,University of Southern Indiana,Millersville University of Pennsylvania,Winona State University,University of Wisconsin-Oshkosh,University of Northern Colorado,Salisbury University
University of Wisconsin-Green Bay,Saint Cloud State University,University of Wisconsin-Oshkosh,Arkansas Tech University,University of Southern Indiana,Bemidji State University,Wright State University-Main Campus,The University of Texas at Tyler,University of Northern Iowa,Southeast Missouri State University,Stockton University
University of Wisconsin-La Crosse,University of Wisconsin-Eau Claire,Georgia College & State University,University of Minnesota-Duluth,Coastal Carolina University,College of Charleston,Salisbury University,Stockton University,University of Northern Iowa,SUNY Brockport,University of Northern Colorado
Wisconsin Lutheran College,Carthage College,Nebraska Wesleyan University,Saint Ambrose University,Roanoke College,King's College,Walsh University,Wartburg College,North Central College,Aquinas College,Concordia College at Moorhead
University of Wisconsin-Oshkosh,University of Wisconsin-Green Bay,Saint Cloud State University,University of Southern Indiana,Southeast Missouri State University,Bemidji State University,University of Wisconsin-Eau Claire,Winona State University,University of Northern Iowa,Arkansas Tech University,Minnesota State University Moorhead
University of Wisconsin-Parkside,Indiana University-Southeast,McNeese State University,Columbus State University,University of Southern Maine,Louisiana State University-Shreveport,Augusta University,Indiana University-South Bend,Youngstown State University,University of Colorado Colorado Springs,University of Michigan-Flint
University of Wisconsin-Stout,University of Northern Iowa,Southeast Missouri State University,Bemidji State University,Pittsburg State University,University of Wisconsin-Platteville,Minnesota State University Moorhead,Saint Cloud State University,Tennessee Technological University,Saginaw Valley State University,Central Connecticut State University
University of Wisconsin-Superior,Shepherd University,Minot State University,Southwest Minnesota State University,Black Hills State University,Georgia Southwestern State University,Delta State University,Mississippi University for Women,Emporia State University,University of Illinois Springfield,Lancaster Bible College
University of Wisconsin-Madison,Ohio State University-Main Campus,University of Maryland-College Park,University of Florida,North Carolina State University at Raleigh,Rutgers University-New Brunswick,University of Georgia,Purdue University-Main Campus,University of Illinois Urbana-Champaign,University of Pittsburgh-Pittsburgh Campus,University of Colorado Boulder
University of Wisconsin-Milwaukee,Minnesota State University-Mankato,Oakland University,Northern Kentucky University,Wichita State University,Cleveland State University,University of Louisville,University of North Florida,University of Memphis,University of Central Oklahoma,University of Akron Main Campus
University of Wisconsin-Platteville,Murray State University,Louisiana Tech University,Tennessee Technological University,Bemidji State University,University of Wisconsin-River Falls,Fitchburg State University,Southeast Missouri State University,University of Maine,University of Idaho,University of Wisconsin-Stout
University of Wisconsin-River Falls,University of Wisconsin-Stevens Point,Murray State University,Winona State University,University of Northern Iowa,University of Idaho,Bemidji State University,Minnesota State University Moorhead,Emporia State University,Georgia College & State University,The University of Tennessee-Martin
University of Wisconsin-Stevens Point,University of Wisconsin-River Falls,University of Northern Iowa,Winona State University,Stockton University,Bemidji State University,Millersville University of Pennsylvania,University of Central Arkansas,University of Wisconsin-Oshkosh,Southeast Missouri State University,Emporia State University
Escuela de Artes Plasticas y Diseno de Puerto Rico,Villa Maria College,University of Puerto Rico-Aguadilla,Roosevelt University,University of Puerto Rico-Carolina,Adams State University,University of North Texas at Dallas,Fairleigh Dickinson University-Metropolitan Campus,American College of the Building Arts,Indiana University-Northwest,The Christ College of Nursing and Health Sciences
University of Puerto Rico-Aguadilla,University of Puerto Rico-Carolina,University of Puerto Rico-Cayey,Indiana University-Northwest,Escuela de Artes Plasticas y Diseno de Puerto Rico,New England Institute of Technology,Roosevelt University,Lewis-Clark State College,LIM College,Indiana University-Kokomo,Dickinson State University
University of Puerto Rico-Carolina,University of Puerto Rico-Aguadilla,University of Puerto Rico-Cayey,Indiana University-Northwest,University of North Texas at Dallas,Escuela de Artes Plasticas y Diseno de Puerto Rico,Governors State University,Roosevelt University,Texas A & M International University,Lewis-Clark State College,Indiana University-Kokomo
University of Puerto Rico-Cayey,University of Puerto Rico-Carolina,University of Puerto Rico-Aguadilla,Indiana University-Northwest,Texas A & M International University,University of Houston-Clear Lake,University of North Texas at Dallas,Texas A&M University-Texarkana,Indiana University-Kokomo,Kean University,University of Houston-Downtown
University of the Virgin Islands,West Virginia State University,Kentucky State University,Bluefield State University,Indiana University-Kokomo,Indiana University-East,Texas A&M University-Texarkana,Lewis-Clark State College,College of Coastal Georgia,Fayetteville State University,Coppin State University
Stanford University,Yale University,Washington University in St Louis,Vanderbilt University,Massachusetts Institute of Technology,University of Pennsylvania,Columbia University in the City of New York,University of Chicago,Harvard University,Rice University,Carnegie Mellon University
Purdue University-Main Campus,Ohio State University-Main Campus,North Carolina State University at Raleigh,Rutgers University-New Brunswick,University of Wisconsin-Madison,University of Illinois Urbana-Champaign,Clemson University,University of Maryland-College Park,University of Florida,Michigan State University,University of Georgia
Georgia State University-Perimeter College,College of Coastal Georgia,Clayton  State University,Gordon State College,Valdosta State University,University of Akron Wayne College,The Evergreen State College,University of Arkansas Community College-Morrilton,Middle Georgia State University,Life University,Auburn University at Montgomery
New College of Florida,Soka University of America,The Evergreen State College,Florida College,University of Minnesota-Rochester,Florida Polytechnic University,University of Health Sciences and Pharmacy in St. Louis,Holy Cross College,Maranatha Baptist University,Thomas Aquinas College,Logan University
University of Washington-Bothell Campus,New York Institute of Technology,Adelphi University,Metropolitan State University,University of Maryland-Baltimore County,New Jersey Institute of Technology,Rutgers University-Camden,University of Massachusetts-Lowell,University of Missouri-Kansas City,Touro University,University of the Pacific
Soka University of America,Sarah Lawrence College,Thomas Aquinas College,Florida College,New College of Florida,Emory University-Oxford College,New Saint Andrews College,University of Minnesota-Rochester,Webb Institute,University of Health Sciences and Pharmacy in St. Louis,Holy Cross College
Embry-Riddle Aeronautical University-Worldwide,Embry-Riddle Aeronautical University-Daytona Beach,SUNY Maritime College,The University of West Florida,University of Missouri-St Louis,University of Colorado Colorado Springs,University of Michigan-Dearborn,University of Missouri-Kansas City,United States Merchant Marine Academy,Purdue University Northwest,Embry-Riddle Aeronautical University-Prescott
Florida Gulf Coast University,The University of Tennessee-Chattanooga,Western Michigan University,Southern Illinois University-Edwardsville,Western Kentucky University,University of Mississippi,Western Carolina University,West Virginia University,University of North Florida,University of Toledo,Kent State University at Kent
University of Connecticut-Waterbury Campus,University of Connecticut-Stamford,University of Connecticut-Hartford Campus,University of Connecticut-Avery Point,SUNY College at Old Westbury,Dominican University of California,University of Illinois Chicago,Nova Southeastern University,University of Nevada-Las Vegas,Texas A & M University-Kingsville,Dominican University New York
University of Connecticut-Avery Point,University of Connecticut-Hartford Campus,University of Connecticut-Waterbury Campus,Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania State University-Penn State Harrisburg,University of Connecticut-Stamford,Pennsylvania State University-Penn State Scranton,Pennsylvania State University-Penn State Lehigh Valley,Pennsylvania State University-Penn State Berks,Stetson University,Pennsylvania State University-World Campus
University of Connecticut-Stamford,University of Connecticut-Waterbury Campus,University of Connecticut-Hartford Campus,University of Connecticut-Avery Point,SUNY College at Old Westbury,Dominican University of California,University of Nevada-Las Vegas,Nova Southeastern University,University of La Verne,University of Illinois Chicago,North Park University
New Saint Andrews College,Thomas Aquinas College,Soka University of America,Sarah Lawrence College,Emory University-Oxford College,University of Northwestern-St Paul,The Evergreen State College,Southern California Institute of Architecture,Florida Polytechnic University,American College of the Building Arts,Franciscan Missionaries of Our Lady University
Franklin W Olin College of Engineering,Webb Institute,The Cooper Union for the Advancement of Science and Art,Harvey Mudd College,Colorado School of Mines,Jewish Theological Seminary of America,Rose-Hulman Institute of Technology,Babson College,Massachusetts Institute of Technology,Soka University of America,Georgia Institute of Technology-Main Campus
Pennsylvania College of Health Sciences,University of Minnesota-Rochester,Aultman College of Nursing and Health Sciences,University of Health Sciences and Pharmacy in St. Louis,Reading Hospital School of Health Sciences,Cabarrus College of Health Sciences,The Christ College of Nursing and Health Sciences,Jersey College,MCPHS University,Indiana University-Kokomo,D'Youville  University
