INSTNM,ACCREDAGENCY,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,PCTPELL,C150_4,C150_L4,CCSIZSET,HBCU,PBI,ANNHI,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,PCTFLOAN,DEBT_MDN,D_PCTPELL_PCTFLOAN,GRADS,STUFACR,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
Emmanuel College,New England Commission on Higher Education,0.7969,1233.0,0.0,0.0,0.0,0.0022,0.0826,0.0,0.0,0.0,0.0915,0.0,0.0,0.0,0.0,0.0,0.0268,0.0,0.0,0.2098,0.0089,0.0,0.0246,0.0246,0.0112,0.0,0.0112,0.0,0.1228,0.0,0.0112,0.1071,0.0,0.0,0.0,0.0,0.0335,0.067,0.154,0.0112,1855.0,0.215,0.6594,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.6481,22969,1870.0,65.0,13.0,620.0,610.0,26.0,,
Endicott College,New England Commission on Higher Education,0.7331,1205.0,0.0,0.0129,0.0,0.0,0.0471,0.0,0.02,0.0,0.0657,0.0071,0.0,0.0,0.0,0.0,0.02,0.0529,0.0,0.0214,0.0057,0.0,0.0043,0.0971,0.0,0.0,0.0,0.0,0.0571,0.0414,0.0,0.0029,0.0,0.0,0.0,0.0,0.0914,0.1571,0.29,0.0057,2999.0,0.1373,0.7809,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6412,23250,2979.0,944.0,12.0,610.0,590.0,26.0,25.0,25.0
Rob Roy Academy-Fall River,National Accrediting Commission of Career Arts and Sciences,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.592,,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.688,5500,125.0,,12.0,,,,,
Fisher College,New England Commission on Higher Education,0.7423,,0.0,0.0,0.0,0.0,0.0422,0.0,0.038,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0,0.0295,0.0,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0422,0.1055,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.2152,0.2278,0.0,1131.0,0.4413,0.2632,,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.6297,12500,1253.0,109.0,11.0,,,,,
Fitchburg State University,New England Commission on Higher Education,0.8606,1124.0,0.0,0.0,0.0025,0.0,0.0299,0.0,0.0435,0.0,0.0896,0.0,0.0211,0.0,0.0,0.0,0.0124,0.0,0.0,0.0721,0.0037,0.0,0.046,0.01,0.0,0.0,0.0112,0.0,0.046,0.0933,0.0373,0.0224,0.0,0.0,0.0,0.0,0.1294,0.1953,0.1244,0.01,2911.0,0.329,0.5639,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4993,18220,3359.0,3386.0,12.0,570.0,550.0,24.0,22.0,24.0
Framingham State University,New England Commission on Higher Education,0.8741,1105.0,0.0,0.0056,0.0,0.0,0.0,0.0655,0.0306,0.0,0.0014,0.0,0.0,0.0237,0.1226,0.0,0.0334,0.0724,0.0,0.0599,0.0125,0.0,0.0028,0.0,0.0,0.0,0.007,0.0,0.1226,0.0,0.0,0.1476,0.0,0.0,0.0,0.0,0.0223,0.032,0.2173,0.0209,2712.0,0.357,0.5461,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5783,17224,3213.0,1141.0,11.0,565.0,540.0,,,
Benjamin Franklin Cummings Institute of Technology,New England Commission on Higher Education,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0144,0.1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799,0.0,0.0,0.1079,0.4353,0.018,0.0,0.0,0.0504,0.0576,0.0,438.0,0.4427,0.4378,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.507,9500,497.0,,8.0,,,,,
Gordon College,New England Commission on Higher Education,0.9176,1215.0,0.0,0.0,0.0,0.0,0.0677,0.0,0.0277,0.0,0.0831,0.0,0.0,0.0185,0.0,0.0,0.0677,0.0,0.0,0.1354,0.0308,0.0,0.0031,0.0277,0.0246,0.0369,0.0185,0.0,0.1138,0.0,0.0431,0.0615,0.0,0.0,0.0,0.0,0.0554,0.0031,0.16,0.0215,1255.0,0.2135,0.6874,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.5687,23250,1368.0,334.0,14.0,620.0,570.0,27.0,29.0,25.0
Gordon-Conwell Theological Seminary,Commission on Accrediting of the Association of Theological Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PS,,1334.0,,,,,,
Greenfield Community College,New England Commission on Higher Education,,,0.0036,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0547,0.0328,0.0,0.0036,0.0,0.0,0.0,0.2701,0.0,0.0146,0.0,0.0,0.0,0.0182,0.0,0.0,0.0036,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0255,0.4161,0.1131,0.0,1073.0,0.3678,,0.3231,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1214,5500,1433.0,,11.0,,,,,
